 Package                                         Name                                                                                       Type    Status         Version        
 Date/Time                                       Date Popup (date_popup)                                                                    Module  Enabled        6.x-2.9        
 Date/Time                                       Date Repeat API (date_repeat)                                                              Module  Not installed  6.x-2.9        
 Date/Time                                       Date Timezone (date_timezone)                                                              Module  Enabled        6.x-2.9        
 Date/Time                                       Date Tools (date_tools)                                                                    Module  Not installed  6.x-2.9        
 Delegation                                      Delegate Menu Administration (delegate_menu_admin)                                         Module  Not installed  6.x-1.1        
 Development                                     Coder (coder)                                                                              Module  Not installed  6.x-2.0-beta1  
 Development                                     Demo Site (demo)                                                                           Module  Not installed  6.x-1.2        
 Development                                     Devel (devel)                                                                              Module  Disabled       6.x-1.27       
 Development                                     Devel generate (devel_generate)                                                            Module  Not installed  6.x-1.27       
 Development                                     Devel node access (devel_node_access)                                                      Module  Not installed  6.x-1.27       
 Development                                     Node import (node_import)                                                                  Module  Not installed  6.x-1.0-rc4    
 Development                                     Nodequeue generate (nodequeue_generate)                                                    Module  Not installed  6.x-2.11       
 Development                                     Page Title Views SimpleTest (page_title_views_test)                                        Module  Not installed  6.x-2.7        
 Development                                     Path redirect generate (path_redirect_generate)                                            Module  Not installed  6.x-1.0-rc2    
 FileField Paths                                 FileField Paths (filefield_paths)                                                          Module  Not installed  6.x-1.4        
 Flags                                           Flag (flag)                                                                                Module  Enabled        6.x-1.5        
 Flags                                           Flag actions (flag_actions)                                                                Module  Enabled        6.x-1.5        
 Image                                           PNG Behave (pngbehave)                                                                     Module  Disabled       6.x-1.7        
 ImageCache                                      ImageAPI (imageapi)                                                                        Module  Enabled        6.x-1.10       
 ImageCache                                      ImageAPI GD2 (imageapi_gd)                                                                 Module  Enabled        6.x-1.10       
 ImageCache                                      ImageAPI ImageMagick (imageapi_imagemagick)                                                Module  Enabled        6.x-1.10       
 ImageCache                                      ImageAPI Optimize (imageapi_optimize)                                                      Module  Not installed  6.x-1.4        
 ImageCache                                      ImageCache (imagecache)                                                                    Module  Enabled        6.x-2.0-rc1    
 jQuery                                          Galleria (galleria)                                                                        Module  Enabled        6.x-1.0        
 Mail                                            Mime Mail (mimemail)                                                                       Module  Not installed  6.x-1.2        
 Mail                                            Mime Mail Action (mimemail_action)                                                         Module  Not installed  6.x-1.2        
 Mail                                            Mime Mail CSS Compressor (mimemail_compress)                                               Module  Not installed  6.x-1.2        
 Meta tags                                       Context Meta Data (context_metadata)                                                       Module  Enabled                       
 Meta tags                                       Nodewords (nodewords)                                                                      Module  Enabled        6.x-1.14       
 Meta tags                                       Nodewords - node type meta tags (nodewords_nodetype)                                       Module  Enabled        6.x-1.8        
 Meta tags                                       Nodewords basic meta tags (nodewords_basic)                                                Module  Enabled        6.x-1.14       
 Meta tags                                       Nodewords extra meta tags (nodewords_extra)                                                Module  Enabled        6.x-1.14       
 Meta tags                                       Nodewords Open Graph meta tags (nodewords_og)                                              Module  Not installed  6.x-1.14       
 Multilanguage                                   Localization client (l10n_client)                                                          Module  Not installed  6.x-1.7        
 Nodequeue                                       Nodequeue (nodequeue)                                                                      Module  Enabled        6.x-2.11       
 Nodequeue                                       Nodequeue Service (nodequeue_service)                                                      Module  Not installed  6.x-2.11       
 Nodequeue                                       Smartqueue taxonomy (smartqueue)                                                           Module  Enabled        6.x-2.11       
 Panels                                          Mini panels (panels_mini)                                                                  Module  Not installed  6.x-3.10       
 Panels                                          Panel nodes (panels_node)                                                                  Module  Not installed  6.x-3.10       
 Panels                                          Panels (panels)                                                                            Module  Enabled        6.x-3.10       
 Panels                                          Panels In-Place Editor (panels_ipe)                                                        Module  Not installed  6.x-3.10       
 Performance and scalability                     Cache Expiration (expire)                                                                  Module  Enabled        6.x-1.0        
 Performance and scalability                     CDN (cdn)                                                                                  Module  Disabled       6.x-2.6        
 Performance and scalability                     HTTP Parallel Request Library (httprl)                                                     Module  Enabled        6.x-1.11       
 Performance and scalability                     Imageinfo Cache (imageinfo_cache)                                                          Module  Enabled        6.x-2.1        
 Performance and scalability                     Memcache (memcache)                                                                        Module  Enabled        6.x-1.10       
 Performance and scalability                     Memcache Admin (memcache_admin)                                                            Module  Not installed  6.x-1.10       
 Performance and scalability                     Purge (purge)                                                                              Module  Enabled        6.x-1.4        
 Publicreative                                   Video XML Sitemap (video_sitemap)                                                          Module  Enabled                       
 User interface                                  CKEditor (ckeditor)                                                                        Module  Enabled        6.x-1.14       
 User interface                                  jCarousel (jcarousel)                                                                      Module  Enabled        6.x-2.6        
 User interface                                  jQuery plugins (jquery_plugin)                                                             Module  Enabled                       
 User interface                                  jQuery UI (jquery_ui)                                                                      Module  Enabled        6.x-1.5        
 User interface                                  jQuery Update (jquery_update)                                                              Module  Enabled        6.x-2.0-alpha1 
 User Interface                                  SWFAddress (swfaddress)                                                                    Module  Not installed  6.x-1.x-dev    
 User interface                                  Vertical Tabs (vertical_tabs)                                                              Module  Not installed  6.x-1.0-rc1    
 Views                                           Semantic Views (semanticviews)                                                             Module  Enabled        6.x-1.1        
 Views                                           Views (views)                                                                              Module  Enabled        6.x-2.16       
 Views                                           Views Auto-refresh (views_autorefresh)                                                     Module  Not installed  6.x-1.0-beta2  
 Views                                           Views Bulk Operations (views_bulk_operations)                                              Module  Enabled        6.x-1.14       
 Views                                           Views Composite Exposed Form Plugin (views_composite_exposed_form)                         Module  Not installed  6.x-1.0-beta2  
 Views                                           Views Data Export (views_data_export)                                                      Module  Not installed  6.x-2.0-beta6  
 Views                                           Views Display Block Path (views_display_block_path)                                        Module  Not installed  6.x-1.0-beta2  
 Views                                           Views exporter (views_export)                                                              Module  Enabled        6.x-2.16       
 Views                                           Views Filters Auto-submit (views_filters_autosubmit)                                       Module  Not installed  6.x-1.0-beta2  
