 Package                              Name                                                                  Type    Status         Version             
 Fields                               Field collection (field_collection)                                   Module  Enabled        X.X-X.X       
 Fields                               File Field Sources (filefield_sources)                                Module  Enabled        X.X-X.             
 Fields                               Link (link)                                                           Module  Not installed  X.X-X.X             
 Fields                               Node Reference (node_reference)                                       Module  Not installed  X.X-X.X             
 Fields                               References (references)                                               Module  Not installed  X.X-X.X             
 Fields                               User Reference (user_reference)                                       Module  Not installed  X.X-X.X             
 Filters                              GeSHi field (geshifield)                                              Module  Enabled        X.X-X.X             
 Filters                              GeSHi Filter (geshifilter)                                            Module  Enabled        X.X-X.X             
 Input filters                        Image resize filter (image_resize_filter)                             Module  Enabled        X.X-X.X            
 Libraries                            Grammar Parser Library (gplib)                                        Module  Not installed  X.X-X.X         
 Media                                IMCE (imce)                                                           Module  Enabled        X.X-X.             
 Media                                IMCE Mkdir (imce_mkdir)                                               Module  Enabled        X.X-X.X             
 Monitoring                           Nagios monitoring (nagios)                                            Module  Not installed  X.X-X.X             
 Multilingual - Internationalization  Rules translation (rules_iX8n)                                        Module  Not installed  X.X-X.X             
 mymodule                             mymodule (mymodule)                                                   Module  Not installed                      
 myredirect                           myredirect (myredirect)                                               Module  Enabled                            
 Node form columns                    Biblio compatability (nfcbiblio)                                      Module  Not installed  X.X-X.X       
 Node form columns                    CAPTCHA compatability (nfccaptcha)                                    Module  Not installed  X.X-X.X       
 Node form columns                    Node form columns (nodeformcols)                                      Module  Enabled        X.X-X.X       
 node_tagger                          Node Tagger (node_tagger)                                             Module  Enabled                            
 Other                                Advanced help (advanced_help)                                         Module  Not installed  X.X-X.X             
 Other                                Advanced help example (help_example)                                  Module  Not installed  X.X-X.X             
 Other                                Entity API (entity)                                                   Module  Enabled        X.X-X.X             
 Other                                Entity tokens (entity_token)                                          Module  Enabled        X.X-X.X             
 Other                                Libraries (libraries)                                                 Module  Enabled        X.X-X.X             
 Other                                Menu position (menu_position)                                         Module  Enabled        X.X-X.X             
 Other                                Mollom (mollom)                                                       Module  Enabled        X.X-X.X            
 Other                                Nodeblock (nodeblock)                                                 Module  Enabled        X.X-X.X             
 Other                                Pathauto (pathauto)                                                   Module  Enabled        X.X-X.X             
 Other                                RoleAssign (roleassign)                                               Module  Enabled        X.X-X.X             
 Other                                SASS / SCSS (sass)                                                    Module  Not installed  X.X-X.X             
 Other                                Tigerfish Utility module (tigerfish)                                  Module  Enabled        X.X-X.X             
 Other                                Token (token)                                                         Module  Enabled        X.X-X.X             
 Other                                Transliteration (transliteration)                                     Module  Not installed  X.X-X.X             
 Rules                                Rules (rules)                                                         Module  Enabled        X.X-X.X             
 Rules                                Rules Autotag (rules_autotag)                                         Module  Enabled        X.X-X.X             
 Rules                                Rules Scheduler (rules_scheduler)                                     Module  Not installed  X.X-X.X             
 Rules                                Rules UI (rules_admin)                                                Module  Enabled        X.X-X.X             
 Search Toolkit                       Apache Solr Access (apachesolr_access)                                Module  Not installed  X.X-X.X      
 Search Toolkit                       Apache Solr framework (apachesolr)                                    Module  Not installed  X.X-X.X      
 Search Toolkit                       Apache Solr search (apachesolr_search)                                Module  Not installed  X.X-X.X      
 Social media                         Social media (socialmedia)                                            Module  Enabled        X.X-X.X      
 Statistics                           Google Analytics (googleanalytics)                                    Module  Not installed  X.X-X.X             
 Taxonomy                             TagClouds (tagclouds)                                                 Module  Enabled        X.X-X.            
 User interface                       IMCE Wysiwyg API bridge (imce_wysiwyg)                                Module  Enabled        X.X-X.X             
 User interface                       Wysiwyg (wysiwyg)                                                     Module  Enabled                            
 Views                                Views (views)                                                         Module  Enabled        X.X-X             
 Views                                Views UI (views_ui)                                                   Module  Enabled        X.X-X             
 Webform                              Webform (webform)                                                     Module  Enabled        X.X-X.X            
 Widgets                              Widgets (widgets)                                                     Module  Enabled        X.X-X.X         
